sent_text_RU,source,type,
От его чешуи шел удивительный запах подводного царства .,животное,пространство,
"У каждого хранится на душе , как тонкий запах лип из Ноевского сада , память о проблеске счастья , заваленном потом житейским мусором .",,,
Пахло мокрой травой .,пространство,растение,
В запахе древесной трухи всегда чувствуется привкус сухих роз .,,,
"Но , в общем , выбирайте сами , к какой книге вас больше влечет эта белая от старости палуба и запах железных бортов , заросших по ватерлинии бахромой водорослей .",,,
"Сквозняки в вагонах , липкая грязь на полах , засыпанных обрывками билетов , прелый запах мокрой одежды и слезящиеся окна , — за ними ползли вереницы темных деревянных домишек и исхлестанные дождем вывески оптовых складов .",,,
"— У вас волосы пахнут порохом , — сказала тетя Надя .",тело,химическое,
"Снова запах лошадиного едкого пота , крики : « Но , заразы ! » — скрип колес , твердое седло , пески и пески .",,,
Воздух был пропитан керосиновым запахом типографской краски и ржаного хлеба .,,,
В душных комнатах пахло мятой .,пространство,еда,
"Они привозили с собой запах мороза , яблок и зипунов .",люди,смешанное,
"Этот запах , напоминавший затхлый воздух зажитых и старомодных квартир , разоблачал его .",,,
"Кончалось лето 1914 года — грозное и тревожное лето войны , и в московском воздухе уже пробивались сладковатые и прохладные запахи осени — вялых листьев и застоялых прудов .",,,
"В листьях дуба , в запахе винных бочек .",,,
Тогда впервые этот горьковатый запах соединился в моем представлении с близостью Черного моря .,,,
В жаркие дни на заводе до одури пахло древесной трухой .,,,
"Один только взгляд , как взмах черной зарницы в этих душных ночах , что настоялись на запахе лип и были полны далеким гулом Брянских лесов — бездорожных , непроходимых , врачующих сердце от хандры и измены .",,,
Из за заборов пахло бархатцами .,,,
Кисло пахло чернилами .,пространство,химическое,
"Она тормошила меня , смеялась своим грудным смехом , и от нее пахло ванилью , — должно быть , она недавно возилась со сладким тестом .",,,
Поздняя ночь пахла дымом пожарищ .,пространство,ситуация,
Мимолетный этот сон был полон запаха воды и марсельского мыла .,,,
"В лавке пахло селедочным рассолом , мылом , но все заглушал чудесный запах свежих рогож , сваленных в задней комнате .",,,
"Кто же это придумал , что как раз в их жизнь , в их деревушку , где еще не успели отцвести барвинки и еще , может быть , пахнет в халупах горячим хлебом , пришла смерть , выгнала из дому в спешке , в слезах и задушила в чужих местах , в сыпучем песке , на дороге , где железные ободья колес скрипели на расстоянии ладони от их навеки уснувших лиц ?",,,
От нее пахло аптекой .,тело,химическое,
"Я полюбил запах тумана , — слабый запах каменноугольного дыма и пара .",,,
Их сильный запах казался занесенным сюда из отдаленной южной весны .,,,
"С тех пор мне казалось , что сермяги нищих пахнут не хлебом и пылью дорог , а порохом и гарью .",,,
"Старик тщательно рассматривал эти письма и даже нюхал их , будто они могли пахнуть тропическими плодами .",,,
"Мне нравилась аптека — чистенькая старая изба с половиками и геранью , фаянсовыми склянками на полках и запахом трав .",,,
"Тоска была в глазах у мальчика — тоска по такой вот косой избе , которой у него нет , по широким лавкам вдоль стен , по треснувшему и склеенному бумагой окошку , по запаху горячего ржаного хлеба с пригоревшими к донцу угольками .",,,
От него пахло клейстером .,тело,химическое,
"Пришла первая февральская оттепель с туманами и капелью , порывистым ветром и запахом дыма .",,,
"На московских улицах все так же пахло типографской краской , а на стенах висели сырые обрывки газет и плакатов .",,,
"Он начал этот рассказ не с описания дома , а с целого исследования о запахе деревянных турецких домов .",,,
"Южное лето накапливало в городских садах столько солнечного жара , зелени и запаха цветов , что ему было жаль расставаться с этим богатством и уступать место осени .",,,
Я это знал по запаху мокрой гальки и по едва внятному трепету одинокого платанового листа .,,,
В темноватой квартире у Амалии пахло свежеразмолотым кофе .,,,
"Когда я вспоминал , например , гостиницы , я вызывал у себя в памяти все мелочи , связанные с ними , — цвет затертых дорожек в коридорах , рисунок обоев , гостиничные запахи и олеографии , лица гостиничных девушек и их манеру говорить , затасканную гнутую мебель , — все , вплоть до чернильницы из похожего по цвету на мокрый сахар уральского камня , где никогда не было чернил и лежали совершенно высохшие мушиные трупы .",,,
Едко пахло конским навозом .,пространство,навоз,
